,title,OP,desc,date,url
73,Therapy v medication? How to choose the best treatment for anxiety - The Guardian,0,"Medication is often prescribed as a quick-fix but therapy can be more helpful in the long-run, if accessible. Here’s how to work out what is best for you",2022-05-25T09:07:00Z,https://amp.theguardian.com/lifeandstyle/2022/may/25/therapy-v-medication-how-to-choose-the-best-treatment-for-anxiety
52,"Ukraine conflict 'sending shock waves around the world,' EU warns; Soros says civilization may not survive war - CNBC",0,"Ukraine President Volodymyr Zelenskyy has said the situation in the Donbas region is ""very difficult"" while George Soros issued a stark warning about the war.",2022-05-25T09:49:00Z,https://www.cnbc.com/2022/05/25/russia-ukraine-live-updates-.html
51,"Get the Playlist: 9 Musicians Who Are Making Africa Proud, According to Global Citizens - Global Citizen",0,"We're celebrating Africa Day by saluting some of the continent's incredible musicians like Burna Boy, WizKid, Black Coffee, and more. Come listen with us!",2022-05-25T09:58:05Z,https://www.globalcitizen.org/en/content/africa-day-playlist-musicians-making-africa-proud/
95,Referees Heard 'Celebrating' After Liverpool Lost To Real Madrid In Champions League Final - SPORTbible,0,Jurgen Klopp's number two Peter Krawietz opened up about the defeat in 2019.,2022-05-25T08:26:06Z,https://www.sportbible.com/football/referees-heard-celebrating-after-liverpool-lost-to-real-madrid-20220525
9,"Palace congratulates Bongbong Marcos, Sara Duterte for victory in May 2022 polls - INQUIRER.net",0,"MANILA, Philippines — The Palace sent its congratulations to president-elect Ferdinand “Bongbong” Marcos Jr. and vice president-elect Sara Duterte-Carpio on Wednesday for winning the May",2022-05-25T11:39:00Z,https://www.inquirer.net
8,How’s the prasad Mr Sibal: BJP's Jitin Prasada takes dig at Kapil Sibal over old tweet - India Today,0,Jitin Prasada took a dig at Kapil Sibal over an old tweet that criticised Prasada for dumping Congress and switching over to the BJP.,2022-05-25T11:42:09Z,https://www.indiatoday.in/india/story/jitin-prasada-hows-the-prasad-kapil-sibal-old-tweet-congress-1954006-2022-05-25
88,Direktiv om ett kombinerat tillstånd för arbete - Regeringen och Regeringskansliet,2,Faktapromemoria gällande proposal for a directive of the European Parlia­ment and of the Council on a single applica­tion pro­cedure for a single...,2022-05-25T08:32:27Z,https://www.regeringen.se/faktapromemoria/2022/05/202122fpm90/
67,"Osinbajo visits Sultan, APC stakeholders, harps on Nigeria's unity - Premium Times",2,"""The country must stay united because our unity is the basis of our success and prosperity. If we are not united, our country will be wasted.”",2022-05-25T09:20:17Z,https://www.premiumtimesng.com/news/top-news/532297-osinbajo-visits-sultan-apc-stakeholders-harps-on-nigerias-unity.html
76,French Open 2022: Emma Raducanu v Aliaksandra Sasnovich on day four – live! - The Guardian,0,"Join Daniel Harris for updates from day four at Roland Garros, with two British hopefuls in action",2022-05-25T09:03:59Z,https://www.theguardian.com/sport/live/2022/may/25/french-open-2022-emma-raducanu-norrie-djokovic-nadal-alcaraz-day-four-tennis
20,"Monkeypox: Pandemic Scenario Cannot Be Ruled Out…, Expert Explains How The Virus Can Become Dangerous | Mint - Mint",0,"Unless the virus has evolved significantly, both in its transmissibility and in its modes of transmission, this virus is known to be not very transmissible.",2022-05-25T11:07:37Z,https://www.livemint.com/news/world/monkeypox-pandemic-scenario-cannot-be-ruled-out-expert-explains-how-the-virus-can-become-dangerous-11653473159926.html
