,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Evening Standard'}",Elly Blake,London politics latest LIVE: Boris Johnson says he takes ‘full responsibility’ as Sue Gray report published - Evening Standard,The 59-page document includes details of 16 boozy events across Whitehall and in Downing Street in breach of Covid laws,https://www.standard.co.uk/news/politics/london-politics-latest-live-sue-gray-partygate-report-watch-pmqs-boris-johnson-b1002176.html,https://static.standard.co.uk/2022/05/25/11/FTmO-erWQAALo9a.jpg?width=1200&width=1200&auto=webp&quality=75,2022-05-25T12:37:51Z,"Sir Beer Korma failing to hold himself to same high standards he demanded of me, says PM
Sir Keir Starmer is failing to hold himself to the same high standards that he demanded of me, the Prime Mini… [+1078 chars]"
1,"{'id': None, 'name': 'Rappler'}",,Will EDSA still be celebrated under Marcos? No answer from spox - Rappler,"Senator Imee Marcos says EDSA made their lives tough, 'we're very grateful for a second chance'",https://www.rappler.com/nation/spokesperson-vic-rodriguez-no-answer-will-edsa-be-celebrated-under-marcos-jr/,https://www.rappler.com/tachyon/2022/05/ferdinand-marcos-proclamation.jpg,2022-05-25T12:26:53Z,"MANILA, Philippines – Will Filipinos still commemorate the EDSA People Power Revolution next year now that President-elect Ferdinand “Bongbong” Marcos Jr. is ruling the Philippines?
“I don’t see any… [+3738 chars]"
2,"{'id': None, 'name': 'EWN'}",Kevin Brandt,No monkeypox cases detected in South Africa: NICD - EWN,NICD experts have given an update on the infectious disease since two cases were confirmed by WHO in the United Kingdom on 13 May.,https://ewn.co.za/2022/05/25/no-monkeypox-cases-detected-in-south-africa-nicd,"http://cdn.primedia.co.za/primedia-broadcasting/image/upload/c_fill,h_437,w_700/rc1bjz5klydt9xncjfsi",2022-05-25T12:10:08Z,"NICD experts have given an update on the infectious disease since two cases were confirmed by WHO in the United Kingdom on 13 May.
 CAPE TOWN - The National Institute for Communicable Diseases (NICD… [+1102 chars]"
3,"{'id': None, 'name': 'Fox Sports'}",Mark St John,‘Looks like guilt money from the club’: Warriors whacked over Lodge’s $700k handshake - Fox Sports,‘Looks like guilt money from the club’: Warriors whacked over Lodge’s $700k handshake,https://www.foxsports.com.au/nrl/nrl-premiership/nrl-2022-matt-lodge-release-warriors-cameron-george-salary-cap-transfers-new-zealand/news-story/639134dc28723a115d8bf6346109bbe9,https://content.api.news/v3/images/bin/59cc2ad4fa2b4948a0cda38226f9d7d2,2022-05-25T12:10:00Z,"The Warriors have come under fire for their decision to pay Matt Lodge out in full to the tune of $700,000, which will remain on their cap for the next 18 months while he plays elsewhere. 
Lodge was… [+7762 chars]"
4,"{'id': None, 'name': 'News-Medical.Net'}",,NTU scientists discover why NAFLD patients are at higher risk of cardiovascular disease - News-Medical.Net,"Patients with non-alcoholic fatty liver disease (NAFLD) are at higher risk of cardiovascular disease, because NAFLD prompts the over-production of a class of proteins that cause inflammation and damage to their blood vessels.",https://www.news-medical.net/news/20220525/NTU-scientists-discover-why-NAFLD-patients-are-at-higher-risk-of-cardiovascular-disease.aspx,https://d2jx2rerrg6sh3.cloudfront.net/image-handler/picture/2017/1/Digital_illustration_of_liver_in_colour_background-Liya_Graphics_0fff2ea2f60c4e71b4991068b748916f-620x480.jpg,2022-05-25T12:09:00Z,"Patients with non-alcoholic fatty liver disease (NAFLD) are at higher risk of cardiovascular disease, because NAFLD prompts the over-production of a class of proteins that cause inflammation and dama… [+6867 chars]"
5,"{'id': None, 'name': 'TheJournal.ie'}",Press Association,Johnson apologises after Sue Gray report hits out at 'behaviour at the heart of Government' - TheJournal.ie,Opposition leader Keir Starmer called for Johnson to resign after the highly critical report was released.,https://www.thejournal.ie/downing-street-sue-gray-report-5773487-May2022/,https://img2.thejournal.ie/article/5773487/river/?height=400&version=5773489,2022-05-25T12:01:00Z,"Updated 51 minutes ago
A SENIOR CIVIL servants report into Downing Street parties during the UKs Covid-19 lockdown has said that what happened fell well short of the standards expected of Government… [+7091 chars]"
6,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Leiland-James Corkill case: Laura Castle jailed for baby murder - BBC,"A judge says Laura Castle was ""selfish"" and it was a tragedy the adoption was not ended.",https://www.bbc.co.uk/news/uk-england-cumbria-61566996,https://ichef.bbci.co.uk/news/1024/branded_news/760D/production/_124412203_1_leiland-corkhill.jpg,2022-05-25T11:59:16Z,"Image source, Cumbria Police
Image caption, Laura Castle had admitted manslaughter but said she did not mean to kill Leiland-James Corkill
A woman who murdered a baby boy she wanted to adopt has be… [+7270 chars]"
7,"{'id': None, 'name': 'YouTube'}",,JWill reacts to Luka Doncic coming through for the Mavericks in Game 4 vs. the Warriors | KJM - ESPN,JWill reacts to Luka Doncic coming through for the Mavericks in Game 4 vs. the Warriors | KJMThe KJM crew reacts to the Golden State Warriors' 119-109 loss a...,https://www.youtube.com/watch?v=vdsjFpfcroQ,https://i.ytimg.com/vi/vdsjFpfcroQ/maxresdefault.jpg,2022-05-25T11:52:10Z,
8,"{'id': None, 'name': 'India Today'}",,How’s the prasad Mr Sibal: BJP's Jitin Prasada takes dig at Kapil Sibal over old tweet - India Today,Jitin Prasada took a dig at Kapil Sibal over an old tweet that criticised Prasada for dumping Congress and switching over to the BJP.,https://www.indiatoday.in/india/story/jitin-prasada-hows-the-prasad-kapil-sibal-old-tweet-congress-1954006-2022-05-25,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202205/pjimage_-_2022-05-25T170936.42-647x363.jpeg?KFJDlWqDoWJ.jpCHQq4Q0nCClULdukDk,2022-05-25T11:42:09Z,
9,"{'id': None, 'name': 'Inquirer.net'}",Daniza Fernandez,"Palace congratulates Bongbong Marcos, Sara Duterte for victory in May 2022 polls - INQUIRER.net","MANILA, Philippines — The Palace sent its congratulations to president-elect Ferdinand “Bongbong” Marcos Jr. and vice president-elect Sara Duterte-Carpio on Wednesday for winning the May",https://www.inquirer.net,https://newsinfo.inquirer.net/files/2019/02/19ANDANAR-e1550515864414-620x424.jpg,2022-05-25T11:39:00Z,"FILE PHOTO: Acting presidential spokesperson Martin Andanar. INQUIRER FILES
MANILA, Philippines The Palace sent its congratulations to president-elect Ferdinand Bongbong Marcos Jr. and vice presiden… [+2027 chars]"
